City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-1.18,87,100,1.63,GS,1731297825
1,albany,42.6001,-73.9662,8.25,72,100,0.89,US,1731297826
2,anadyr,64.75,177.4833,-12.72,84,40,3.58,RU,1731297826
3,los frentones,-26.4077,-61.4137,24.09,47,3,2.41,AR,1731297826
4,lompoc,34.6391,-120.4579,11.12,90,100,1.54,US,1731297826
5,port-aux-francais,-49.35,70.2167,4.81,87,79,9.72,TF,1731297826
6,utrik,11.2278,169.8474,28.42,77,4,8.47,MH,1731297826
7,zakamensk,50.3741,103.2863,-0.61,41,84,2.37,RU,1731297826
8,bilibino,68.0546,166.4372,-24.02,100,96,1.23,RU,1731297826
9,nagato,34.3833,131.2,18.61,71,84,6.1,JP,1731297827
10,west island,-12.1568,96.8225,28.99,74,20,8.75,CC,1731297827
11,palekh,56.8028,41.8572,0.64,90,100,2.04,RU,1731297827
12,punta arenas,-53.15,-70.9167,5.06,70,20,3.6,CL,1731297827
13,edinburgh of the seven seas,-37.0676,-12.3116,16.02,88,92,16.24,SH,1731297827
14,bomdila,27.25,92.4,11.13,49,0,2.13,IN,1731297827
15,hithadhoo,-0.6,73.0833,28.38,70,100,5.27,MV,1731297827
16,bethel,41.3712,-73.414,12.47,88,100,0.89,US,1731297827
17,puerto ayora,-0.7393,-90.3518,21.97,87,91,1.34,EC,1731297827
18,sassandra,4.95,-6.0833,24.51,90,32,1.95,CI,1731297828
19,lihue,21.9789,-159.3672,23.74,88,17,5.89,US,1731297828
20,nar'yan-mar,67.6713,53.087,-11.66,92,81,1.97,RU,1731297828
21,bonthe,7.5264,-12.505,26.15,80,27,1.29,SL,1731297828
22,egilsstadir,65.2653,-14.3948,6.95,57,0,9.77,IS,1731297828
23,khamgaon,20.6833,76.5667,25.41,52,0,2.22,IN,1731297828
24,kapuskasing,49.4169,-82.4331,4.05,100,100,2.57,CA,1731297828
25,yellowknife,62.456,-114.3525,-13.71,85,75,4.12,CA,1731297739
26,kangding,30.0513,101.9603,14.25,58,23,2.27,CN,1731297829
27,waitangi,-43.9535,-176.5597,15.46,88,98,2.68,NZ,1731297829
