Country Name,Average Rating,Booking Frequency
Albania,4.42,88.4
Algeria,4.24,84.80000000000001
American Samoa,3.8049999999999997,76.1
Andorra,4.295,85.9
Angola,4.1850000000000005,83.70000000000002
Anguilla,4.61,92.2
Antarctica,4.357142857142857,87.14285714285714
Argentina,4.425,88.5
Armenia,4.45,89.0
Aruba,4.4350000000000005,88.70000000000002
Australia,4.0649999999999995,81.29999999999998
Austria,4.42,88.4
Azerbaijan,4.365,87.30000000000001
Bahamas,4.1850000000000005,83.70000000000002
Bahrain,4.255,85.1
Bangladesh,4.279999999999999,85.6
Barbados,4.32,86.4
Belarus,4.515,90.3
Belgium,4.3100000000000005,86.20000000000002
Benin,4.38,87.6
Bolivia,4.3950000000000005,87.9
Bosnia and Herzegovina,4.52,90.39999999999999
Botswana,4.3,86.0
Brazil,4.175,83.5
British Virgin Islands,4.285,85.7
Bulgaria,4.34,86.8
Burkina Faso,4.09,81.8
Burundi,4.18,83.6
Cambodia,4.404999999999999,88.1
Cameroon,4.205,84.1
Cape Verde,4.475,89.5
Cayman Islands,4.64,92.8
Central African Republic,3.6374999999999997,72.75
Chile,4.51,90.19999999999999
China,4.4,88.0
Colombia,4.525,90.5
Comoros,4.14,82.8
Costa Rica,4.345000000000001,86.9
Croatia,4.529999999999999,90.6
Cuba,4.4799999999999995,89.6
Cyprus,4.55,91.0
Czech Republic,4.36,87.2
Denmark,4.220000000000001,84.4
Djibouti,4.17,83.4
Dominica,4.485,89.7
Dominican Republic,4.279999999999999,85.6
Ecuador,4.61,92.2
Egypt,4.29,85.8
El Salvador,4.46,89.2
Estonia,4.43,88.6
Faroe Islands,4.175,83.5
Fiji,4.235,84.7
Finland,4.2299999999999995,84.6
France,4.04,80.8
French Polynesia,4.4399999999999995,88.79999999999998
French Southern Territories,4.58,91.6
Gabon,4.125,82.5
Georgia,3.62,72.4
Germany,4.12,82.4
Ghana,4.425,88.5
Gibraltar,4.011764705882353,80.23529411764706
Greece,4.46,89.2
Guadeloupe,4.3149999999999995,86.29999999999998
Guatemala,4.5,90.0
Guernsey,4.425,88.5
Guinea-Bissau,4.34,86.8
Guyana,3.8899999999999997,77.8
Honduras,4.475,89.5
Hong Kong,4.165,83.3
Hungary,4.42,88.4
Iceland,4.46,89.2
India,4.265,85.3
Iran,4.4375,88.75
Iraq,4.35,87.0
Ireland,4.4,88.0
Isle of Man,4.404999999999999,88.1
Israel,4.1049999999999995,82.1
Italy,4.295,85.9
Ivory Coast,4.285,85.7
Jamaica,4.25,85.0
Japan,4.2700000000000005,85.4
Jersey,4.485,89.7
Jordan,4.5649999999999995,91.29999999999998
Kazakhstan,4.615,92.30000000000001
Kenya,4.4,88.0
Kiribati,4.229411764705882,84.58823529411765
Kuwait,4.26,85.19999999999999
Laos,4.33,86.6
Latvia,4.465,89.3
Lebanon,4.335,86.7
Libya,4.0200000000000005,80.4
Liechtenstein,4.535,90.7
Lithuania,4.525,90.5
Luxembourg,4.2299999999999995,84.6
Macau,4.32,86.4
Madagascar,4.375,87.5
Malawi,4.1,82.0
Malaysia,3.8899999999999997,77.8
Maldives,4.635,92.69999999999999
Mali,4.01,80.19999999999999
Malta,4.46,89.2
Mauritania,4.195,83.9
Mauritius,4.335,86.7
Mayotte,4.125,82.5
Mexico,4.335,86.7
Monaco,4.325,86.5
Montenegro,4.6049999999999995,92.1
Morocco,4.4,88.0
Mozambique,4.529999999999999,90.6
Myanmar,4.245,84.9
Namibia,4.455,89.1
Nepal,4.5600000000000005,91.20000000000002
Netherlands,4.375,87.5
New Caledonia,3.935,78.7
New Zealand,4.404999999999999,88.1
Nicaragua,4.58,91.6
Nigeria,4.25,85.0
North Macedonia,4.515,90.3
Norway,4.46,89.2
Oman,4.38,87.6
Pakistan,4.24,84.80000000000001
Palau,4.495,89.9
Panama,4.36,87.2
Paraguay,4.505,90.1
Peru,4.595,91.89999999999999
Philippines,3.9850000000000003,79.7
Poland,4.4799999999999995,89.6
Portugal,4.445,88.9
Puerto Rico,4.385,87.69999999999999
Qatar,4.29,85.8
Romania,4.365,87.30000000000001
Russia,4.5200000000000005,90.4
Rwanda,4.470000000000001,89.4
Saint Kitts and Nevis,4.43,88.6
Saint Lucia,4.475,89.5
San Marino,4.470000000000001,89.4
Sao Tome and Principe,4.42,88.4
Saudi Arabia,4.3,86.0
Senegal,4.279999999999999,85.6
Serbia,4.55,91.0
Seychelles,4.525,90.5
Sierra Leone,4.3149999999999995,86.29999999999998
Singapore,4.26,85.19999999999999
Slovakia,4.49,89.80000000000001
Slovenia,4.4799999999999995,89.6
South Africa,4.404999999999999,88.1
South Korea,4.115,82.30000000000001
Spain,4.195,83.9
Sri Lanka,4.49,89.80000000000001
Sudan,4.14,82.8
Suriname,4.0600000000000005,81.20000000000002
Sweden,4.205,84.1
Switzerland,4.385,87.69999999999999
Syria,4.425,88.5
Taiwan,4.385,87.69999999999999
Tajikistan,4.54,90.8
Tanzania,4.515,90.3
Thailand,4.39,87.8
Timor-Leste,4.51,90.19999999999999
Togo,4.125,82.5
Tunisia,4.0,80.0
Turkey,4.365,87.30000000000001
Uganda,4.225,84.5
Ukraine,4.4350000000000005,88.70000000000002
United Arab Emirates,4.24,84.80000000000001
United Kingdom,3.88,77.6
United States,4.115,82.30000000000001
United States Minor Outlying Islands,4.3,86.0
Uruguay,4.465,89.3
Uzbekistan,4.470000000000001,89.4
Venezuela,4.470000000000001,89.4
Vietnam,4.375,87.5
Zambia,4.38,87.6
Zimbabwe,4.3149999999999995,86.29999999999998
